X,Y,INCIDENT I,DESCRIPTIO,START_DT,MODIFIED_D,QUADRANT,Longitude,Latitude,location,COUNT_1
-114.019133128011,51.0535627199567,On the ramp from Memorial Drive to Southbound Deerfoot Trail NE,Multi vehicle incident.,02/13/2017 06:55:30 AM,02/13/2017 06:57:17 AM,NE,-114.019133128011,51.0535627199567,"(51.0535627199567, -114.019133128011)",15
-114.075373268765,50.9505553445019,Eastbound Anderson Road approaching Macleod Trail SE,2 vehicle incident.,02/13/2017 07:35:57 AM,02/13/2017 07:36:50 AM,SE,-114.075373268765,50.9505553445019,"(50.9505553445019, -114.075373268765)",5
-114.039173086226,50.9941566757218,On the ramp from Southbound Deerfoot Trail to Eastbound Glenmore Trail SE,Multi vehicle incident.,02/13/2017 11:52:00 AM,02/13/2017 11:52:49 AM,SE,-114.039173086226,50.9941566757218,"(50.9941566757218, -114.039173086226)",107
-114.077058299052,50.9946015254432,Nortbound 5 Street at Glenmore Trail SW,Multi vehicle incident.,02/13/2017 02:26:12 PM,02/13/2017 02:27:26 PM,SW,-114.077058299052,50.9946015254432,"(50.9946015254432, -114.077058299052)",17
-114.096251526404,50.988136646003,14 Street at 75 Avenue SW,"Signal lights are flashing red, crews have been dispatched.",02/13/2017 03:07:54 PM,02/13/2017 03:09:43 PM,SW,-114.096251526404,50.988136646003,"(50.988136646003, -114.096251526404)",4
-114.039173086226,50.9941566757218,Southbound Deerfoot Trail north of Glenmore Trail SE,Multi-vehicle incident in the right lane.,02/13/2017 03:45:30 PM,02/13/2017 03:52:23 PM,SE,-114.039173086226,50.9941566757218,"(50.9941566757218, -114.039173086226)",107
-113.937278593851,51.0961637010527,68 Street at McKnight Boulevard NE,2 vehicle incident in the intersection.,02/13/2017 05:11:39 PM,02/13/2017 05:15:52 PM,NE,-113.937278593851,51.0961637010527,"(51.0961637010527, -113.937278593851)",8
-114.039872969247,50.9868654273733,Heritage Drive at 11 Street SE,2 vehicle incident.,02/13/2017 05:53:27 PM,02/13/2017 05:54:27 PM,SE,-114.039872969247,50.9868654273733,"(50.9868654273733, -114.039872969247)",6
-114.096351032635,51.1430823729571,Eastbound Country Hills Boulevard approaching Beddington Trail NW,2 vehicle incident in the left lane.,02/13/2017 06:02:42 PM,02/13/2017 06:19:52 PM,NW,-114.096351032635,51.1430823729571,"(51.1430823729571, -114.096351032635)",12
-114.120158337838,51.0086677240943,Southbound Crowchild Trail at 50 Avenue SW,2 vehicle incident in the right lane.,02/13/2017 06:18:30 PM,02/13/2017 06:19:52 PM,SW,-114.120158337838,51.0086677240943,"(51.0086677240943, -114.120158337838)",12
-114.011069831956,50.9508144056894,Northbound Deerfoot Trail at 24 Street SE,2 vehicle incident.,02/13/2017 11:44:37 PM,02/13/2017 11:46:29 PM,SE,-114.011069831956,50.9508144056894,"(50.9508144056894, -114.011069831956)",13
-114.059941842114,50.9795101859338,Heritage Drive and Fairmount Drive SE,Incident involving a pedestrian.,02/14/2017 09:20:33 AM,02/14/2017 09:21:56 AM,SE,-114.059941842114,50.9795101859338,"(50.9795101859338, -114.059941842114)",3
-114.097219983861,50.9948455746374,14 Street and Glenmore Trail SW,Single vehicle incident on the ramp from northbound 14 Street to westbound Glenmore Trail.,02/14/2017 09:51:02 AM,02/14/2017 09:53:50 AM,SW,-114.097219983861,50.9948455746374,"(50.9948455746374, -114.097219983861)",1
-113.958542819707,51.0681791444257,Southbound 52 Street at 16 Avenue NE,2 vehicle incident.,02/14/2017 10:47:09 AM,02/14/2017 10:49:12 AM,NE,-113.958542819707,51.0681791444257,"(51.0681791444257, -113.958542819707)",1
-114.166662728697,51.1207624956051,John Laurie Boulevard and Sarcee Trail NW,2 vehicle incident in the intersection.,02/14/2017 12:44:06 PM,02/14/2017 12:45:39 PM,NW,-114.166662728697,51.1207624956051,"(51.1207624956051, -114.166662728697)",1
-114.038032334448,51.0866364874556,Northbound Deerfoot Trail at 32 Avenue NE,2 vehicle incident.,02/14/2017 04:28:54 PM,02/14/2017 04:52:11 PM,NE,-114.038032334448,51.0866364874556,"(51.0866364874556, -114.038032334448)",44
-114.003921890327,51.0928962668731,Westbound McKnight Boulevard at Barlow Trail NE,Single vehicle incident.,02/14/2017 04:44:00 PM,02/14/2017 04:52:11 PM,NE,-114.003921890327,51.0928962668731,"(51.0928962668731, -114.003921890327)",11
-114.00896332604,51.0112201419317,Southbound Deerfoot Trail past Peigan Trail SE,2 vehicle incident.,02/14/2017 04:50:31 PM,02/14/2017 04:52:11 PM,SE,-114.00896332604,51.0112201419317,"(51.0112201419317, -114.00896332604)",1
-114.028551292521,51.0673798693422,Northbound Deerfoot Trail at 16 Avenue NE,2 vehicle incident.,02/14/2017 05:22:26 PM,02/14/2017 05:23:19 PM,NE,-114.028551292521,51.0673798693422,"(51.0673798693422, -114.028551292521)",85
-114.062427515694,51.0961033579573,Eastbound McKnight Boulevard at Centre Street N,Multi vehicle incident.,02/14/2017 05:34:49 PM,02/14/2017 05:48:01 PM,NW,-114.062427515694,51.0961033579573,"(51.0961033579573, -114.062427515694)",5
